event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX accidentally burned ___,"[""none"", ""screams in pain"", ""panics""]","[""none"", ""compassionate"", ""hurt"", ""injured""]","[""to help him"", ""to give him an ointment"", ""to put the fire out"", ""to call the fire department""]","[""absentminded"", ""reckless"", ""careless"", ""clumsy"", ""clumsy"", ""foolish""]","[""personX loses the item."", ""personX must repeat the action if he wants the burned item."", ""becomes startled"", ""burns himself""]","[""none"", ""none"", ""none""]","[""none"", ""to be lighting a fire"", ""to be out of control of the fire""]","[""sad and exhausted"", ""responsible"", ""sorry"", ""hurt"", ""injured""]","[""to visit the doctor"", ""to apply medicine"", ""to put the fire out"", ""to get help putting the fire out"", ""to call the fire department for help""]","[""accidentally"", ""burned""]",trn
PersonX accidentally cut,"[""none"", ""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""careless"", ""violent"", ""irresponsible"", ""distraught"", ""Clumsy"", ""Unlucky""]","[""bleeds"", ""get stiches"", ""needs bandage"", ""gets stitches"", ""puts on a bandaid"", ""bleeds"", ""puts on bandage""]","[""none""]","[""none"", ""use a knife or tool"", ""make a movement to cause a cut"", ""to get a nife"", ""to gather veggies""]","[""bad"", ""guilty""]","[""to get a bandaid"", ""to call the doctor"", ""to get ointment"", ""to get a bandaid"", ""to wash the wound"", ""to get a bandage""]","[""accidentally"", ""cut""]",trn
PersonX accidentally cut ___,"[""none"", ""none"", ""none""]","[""none"", ""frightened"", ""none""]","[""to save themselves"", ""to seek medical help"", ""To avoid getting cut"", ""To treat X"", ""none""]","[""clumsy"", ""unskilled"", ""dangerous"", ""rude""]","[""go to hospital"", ""get injection"", ""drive car to hospital"", ""Person X looses lots of blood."", ""Person X went to hospital"", ""grabs a tissue"", ""gets stitches""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""to be playing with scissors"", ""to have a knife""]","[""agonised"", ""worried"", ""sad""]","[""to save him"", ""to rush to the doctor"", ""To treat the cut"", ""To throw away the source of the cut"", ""to fix what they cut"", ""to call their doctor"", ""to cry""]","[""accidentally"", ""cut""]",trn
PersonX accidentally dropped,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""clumsy"", ""absent-minded"", ""preoccupied"", ""careless"", ""klutzy"", ""unathletic"", ""clumsy"", ""mistake-prone""]","[""their foot gets bruised"", ""they get splashed with water from the falling vase"", ""PersonX breaks the glass"", ""PersonX smashes the glass""]","[""none"", ""none"", ""none""]","[""none"", ""to be holding something"", ""to have something in their hands""]","[""bad"", ""sad"", ""sad"", ""worried"", ""clumsy""]","[""unexpectedly he went a shop"", ""he want to go to office and dropped to play"", ""he want to meet a friend"", ""he went to market"", ""clean up the mess"", ""make sure nobody was hurt""]","[""accidentally"", ""dropped""]",trn
PersonX accidentally dropped ___,"[""cleans up the cocoa"", ""gets paper towels"", ""they have to deal with the broken or dropped item and replace it"", ""they have to forgive"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""careless"", ""clumsy"", ""not careful"", ""negligent"", ""Clumsy"", ""Butter fingered""]","[""picks up doll"", ""looks for doll"", ""they have to clean up"", ""they have to apologize"", ""yelled at"", ""jumps in fright""]","[""none"", ""none""]","[""none"", ""to have phone in hand"", ""to lose grip of phone"", ""none""]","[""silly"", ""apologetic"", ""embarassed"", ""sorry"", ""sad it broke"", ""mad at themselves""]","[""to pick it up"", ""brush it off."", ""to make sure phone is not broken"", ""to be more careful with phone"", ""to pick up something"", ""to replace something""]","[""accidentally"", ""dropped""]",trn
PersonX accidentally dropped ___ on the ground,"[""none"", ""none"", ""Blame PersonX"", ""Help""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""clumsy"", ""accident-prone"", ""remorseful"", ""apprehensive"", ""heartbroked"", ""upset"", ""clumsy"", ""uncoordinated"", ""reckless""]","[""none"", ""none"", ""Cries"", ""Sweeps the mess""]","[""none"", ""none"", ""none""]","[""none""]","[""surprised"", ""sad"", ""guilty about it""]","[""to pick up something"", ""to get somewhere quickly"", ""to clean the object"", ""to pick up the object"", ""to pick it up"", ""to grab some more""]","[""accidentally"", ""dropped""]",trn
PersonX accidentally dropped it,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""clumsy"", ""awkward"", ""clumsy"", ""uncoordinated""]","[""is confused"", ""did something wrong"", ""can't do what he planned"", ""needs to make new plans""]","[""none"", ""none""]","[""none"", ""none""]","[""sad"", ""apologetic"", ""embarrassed""]","[""to pick it up"", ""to fix the broken thing they dropped"", ""picks it back up"", ""smiles"", ""to cry"", ""to panic""]","[""accidentally"", ""dropped""]",trn
PersonX accidentally fell,"[""none""]","[""none"", ""none"", ""shocked""]","[""none"", ""none"", ""none""]","[""awkward"", ""uncooridanted"", ""hurt"", ""clumsy"", ""careless"", ""careless"", ""clumsy""]","[""PersonX breaks a hip"", ""PersonX breaks an arm""]","[""none"", ""none"", ""none""]","[""to stand up"", ""to walk too fast"", ""none"", ""none""]","[""hurt"", ""embarrassed"", ""embarassed"", ""hurt"", ""embarrassed and bad""]","[""to get back on their feet"", ""to look where they are going next time"", ""to get back up"", ""to not be hurt"", ""to get up"", ""brush off dirt""]","[""accidentally"", ""fell""]",trn
PersonX accidentally got,"[""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""careless"", ""clumsy"", ""lucky"", ""fortunate"", ""careless"", ""thoughtless""]","[""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""happy"", ""being helped""]","[""to come out OK"", ""to avoid further accident"", ""To correct the mistake"", ""To make up for the mistake"", ""relief"", ""medical care"", ""drugs""]","[""accidentally"", ""got""]",trn
PersonX accidentally got ___,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""careless"", ""negligent"", ""clumsy"", ""sorry"", ""clumsy"", ""careless""]","[""yells in anger"", ""slaps own forehead"", ""PersonX sweats with guilt"", ""PersonX thinks nervously about what they did wrong"", ""is stared at"", ""gets reprimanded""]","[""none"", ""none"", ""none""]","[""none"", ""to make a mistake"", ""to not think things through"", ""none""]","[""sad"", ""embarrased"", ""hurt"", ""painful""]","[""to fix something"", ""to make up something"", ""to be able to fix"", ""to be forgiven"", ""to fix the mistake"", ""to learn from it""]","[""accidentally"", ""got""]",trn
PersonX accidentally hit,"[""none""]","[""hurt""]","[""none"", ""none""]","[""clumsy."", ""foolish."", ""hurt."", ""Clumsy"", ""Sorry"", ""ignorant"", ""hurt""]","[""hand broken"", ""hand swollen""]","[""none""]","[""none"", ""none""]","[""guilty""]","[""to get bandaged"", ""to get first aid"", ""to ascertain the damage to his vehicle"", ""to seek compensation from the person who hit .""]","[""accidentally"", ""hit""]",trn
PersonX accidentally hit ___,"[""Other person is injured"", ""Other person gets mad at person x and seeks retribution"", ""none""]","[""indignant"", ""annoyed"", ""angry at personx"", ""sad for their own experience"", ""hurt""]","[""to get revenge"", ""to accept an apology"", ""file charges"", ""seek justice"", ""to assess their wounds"", ""go to doctor"", ""call police"", ""none""]","[""mortified"", ""terrified"", ""clumsy"", ""silly"", ""clumsy"", ""appologetic""]","[""Person x is punished for hitting"", ""Person x injures self or hand aftet hitting object/person"", ""Goes to jail"", ""Gets detention""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none"", ""none""]","[""horrified"", ""dismayed"", ""disappointed that they had an accident"", ""angry that the accident took place"", ""horrified""]","[""to say sorry"", ""to see if someone is okay"", ""apologize"", ""run away"", ""check to make sure everyone is ok"", ""see if they can help"", ""apologize"", ""to say sorry"", ""to make it feel better""]","[""accidentally"", ""hit""]",trn
PersonX accidentally kicked,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""to yell"", ""to get back at PersonX""]","[""regretful"", ""sorrowful"", ""clumsy"", ""not careful"", ""Clumsy"", ""uncoordinated""]","[""cries"", ""bruises"", ""none"", ""yelps in pain"", ""swears under their breath""]","[""none"", ""none"", ""none""]","[""sits too close"", ""pulls his seat back"", ""none"", ""none""]","[""restless"", ""guilty"", ""embarrassed"", ""sorry""]","[""moves up his seat"", ""says sorry"", ""to scream"", ""to shock"", ""to apologize"", ""to see if something/someone is okay""]","[""accidentally"", ""kicked""]",tst
PersonX accidentally kicked ___,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""sorry for him""]","[""none"", ""none"", ""to catch PersonX"", ""to make PersonX pay for the damage""]","[""power"", ""strong"", ""klutzy"", ""sorry"", ""carelesss"", ""clumbsy""]","[""gets in trouble"", ""get yelled at"", ""hurts his toes"", ""gets bit by a dog"", ""gets curseed at"", ""gets hit back""]","[""none"", ""none"", ""none""]","[""none"", ""to be unaware of what's going on"", ""to make an attempt"", ""to be playing sports"", ""to have bad aim""]","[""surprised"", ""embarrassed"", ""ashamed""]","[""to apologize"", ""to pick it up"", ""to get it back"", ""to yell swear words"", ""to run away"", ""to avoid blame""]","[""accidentally"", ""kicked""]",tst
PersonX accidentally knocked,"[""none"", ""none"", ""opens door"", ""looks around in confusion""]","[""confused"", ""surprised"", ""irritated"", ""livid"", ""none""]","[""none"", ""none""]","[""clumsy"", ""embarrassed"", ""clumsy"", ""clownish""]","[""painful"", ""bleeding"", ""PersonX experiences embarassement"", ""PersonX has to explain their actions"", ""blushes"", ""runs away""]","[""none"", ""none"", ""none""]","[""to walk to the door"", ""to enter the building"", ""giving them a hard blow"", ""waiting for someone""]","[""sorry"", ""embarassed"", ""stupid"", ""surprised""]","[""to go inside"", ""to run away"", ""hurt"", ""to get pain""]","[""accidentally"", ""knocked""]",trn
PersonX accidentally knocked ___,"[""lost a item"", ""high blood presion"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""careless"", ""inconsiderate"", ""careless"", ""absentminded"", ""clumsy"", ""unaware""]","[""gets hurts"", ""panic"", ""PersonX shatters the vase"", ""PersonX spills the milk""]","[""none"", ""also happy satisfied"", ""none""]","[""lose balance"", ""be near the object"", ""none"", ""none""]","[""guilty"", ""two"", ""embarrassed""]","[""pick the object up"", ""apologize"", ""to pick something up"", ""to say sorry"", ""picks it up"", ""be more careful""]","[""accidentally"", ""knocked""]",trn
PersonX accidentally knocked over,"[""helps clean up"", ""yells at X"", ""none""]","[""annoyed"", ""none"", ""none""]",[],"[""clumsy"", ""free spirited"", ""clumsy"", ""careless""]","[""apologizes"", ""turns red"", ""spills drinks"", ""breaks a glass""]","[""none"", ""none"", ""none""]",[],"[""fearful"", ""regretful"", ""embarrassed"", ""apologetic"", ""sorry""]",[],"[""accidentally"", ""knocked""]",trn
PersonX accidentally left,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""careless"", ""thoughtless"", ""absent minded"", ""dumb"", ""clumsy"", ""unfocused""]","[""gets scolded by others"", ""gets warned"", ""PersonX exited a situation unintentionally"", ""no effect""]","[""none"", ""none""]","[""none"", ""He started working."", ""He looked at his watch."", ""none""]","[""surprised"", ""embarrassed"", ""embarrassed"", ""aloof"", ""distracted""]","[""to come back"", ""to find out why they left"", ""He notices his watch not moving."", ""He goes back."", ""to stop"", ""to go back""]","[""accidentally"", ""left""]",trn
PersonX accidentally left ___,"[""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""careless"", ""scatterbrained"", ""forgetful"", ""negligent"", ""unfocused"", ""careless""]","[""hyperventilates"", ""sighs""]","[""none"", ""none"", ""none""]","[""none"", ""to turn on their webcam"", ""to put their purse down"", ""none""]","[""annoyed"", ""upset"", ""forgetful"", ""dumb"", ""upset"", ""confused""]","[""to go back"", ""to see what they did wrong"", ""to check the lost and found"", ""put a piece of paper over the webcam"", ""to fix mistake"", ""for there to be no consequences to accident""]","[""accidentally"", ""left""]",trn
